id,category,file_url,file_title,title,body,date,tags,topics,divisions
14,Announcement,,,Civil Case FAX-Filing is no longer being offered,"<p>Please consider E-Filing.&nbsp; See the announcement below.<br>
&nbsp;</p>",,,,
15,Announcement,,,Civil E-Filing is now available,"<p><span style=""font-size:14px""><a href=""/os/efiling.htm"">E-Filing is now available for all civil case types</a>:&nbsp; Unlimited, Limited, Small Claims, Probate and Guardianships, Family Law, Family Support, Adoption and Mental Health.</span><br>
&nbsp;</p><p>San Luis Obispo Superior will never email a Notice to Appear in Court to the public.<br>
&nbsp;</p>",,,,
16,Announcement,,,Alert - Notice to Public of “Notice to Appear in Court” Email Scam,"<p>If you receive an email purporting to be from a clerk of the court referencing a “Notice to Appear in Court”, please delete it immediately.&nbsp; Do not open any attachments, click on any links, or unsubscribe. Doing so may install the malware/virus onto your computer.</p> <p>San Luis Obispo Superior will never email a Notice to Appear in Court to the public.<br>
&nbsp;</p>",,,,
18,Press Release,,,Memo - Designation of Complex Cases,"<p>The Court wishes to inform you that effective immediately, the San Luis&nbsp;Obispo County Superior Court will begin reviewing all civil case files for the&nbsp;purpose of identifying those cases that should be designated as a “complex case”.&nbsp;Complex cases must be designated by the plaintiff or defendant or jointly on the&nbsp;Civil Case Cover Sheet as provided by California Rules of Court, Rule 3.401-3.402. The Court is audited by the state for case types and procedures that affect&nbsp;the budget of the court and the allocation of judicial resources. In these tight&nbsp;budgetary times, our Court finds it necessary to more strictly enforce the Rules of&nbsp;Court regarding case types.</p>

<p>Each judge to whom civil cases are assigned shall &nbsp;determine (with or&nbsp;without a hearing) whether or not the case should be designated as complex&nbsp;pursuant to California Rules of Court, Rule 3.403. &nbsp;If the matter is designated as&nbsp;complex, and if all parties have not yet paid the complex case fee required by&nbsp;Government Code &sect;26826.4, the Court shall order payment of that fee.</p>

<p>The Court will make every effort to determine whether a case is complex as&nbsp;soon as feasible after a case is filed. The judge &nbsp;assigned to the case has the&nbsp;continuing power, pursuant to California Rules of Court, Rule 3.403(b), to decide&nbsp;on its own motion or on noticed motion of any party, that a civil action is a&nbsp;complex case or that an action previously declared &nbsp;to be a complex case is not a&nbsp;complex case.</p>

<p>The Court would appreciate the cooperation and assistance of the lawyers&nbsp;appearing before us in properly designating complexcases.<br />
&nbsp;</p>",8/8/12,,,
19,Press Release,,,Use of Court Reporters in Civil Matters,"<p>Use of Court Reporters in Civil&nbsp;Law Matters&nbsp;Due to inadequate funding caused by budget cutbacks, the&nbsp;Court regrets that it will no longer be able to provide court&nbsp;reporters in civil law matters.&nbsp;If you wish to have a matter reported, please make&nbsp;advance arrangements with any licensed reporter or reporting&nbsp;firm. The Court maintains a list of local reporters with court&nbsp;experience that is available upon request.&nbsp;This new policy will go into effect on Monday, November 14, 2011.</p>",11/1/11,,,
20,Press Release,,,EZLegalFile to be Discontinued,"<p>Effective June 30, 2011, EZLegalFile will discontinue operations and go offline.</p>

<p>Please make every effort to complete and print your California court forms prior to this date. If you have previously completed forms that you wish to save, please print them for your records as this information will no longer be available for your use.</p>

<p>It has been our pleasure to provide the California public and the California Superior Courts with this award-winning service over the past ten years. Regrettably, ongoing reductions in court funding has necessitated that we discontinue this service. We would like to thank you for your past support in using the EZLegalFile service.<br />
&nbsp;</p>",,,,
21,Press Release,,,Notice To Forensic Evaluators,"<h4>Compensation Rate Increase</h4>

<p>Effective June 3, 2011, the flat fee rate for Penal Code Section 1026 and 1027 evaluations has been changed from a $300 flat rate to a $500 flat rate.</p>

<p>All orders for evaluations made prior to May 18, 2011 and billed before June 3, 2011 shall remain payable at the $300 flat fee rate. All orders for evaluation made after May 18, 2011 and billed after June 3, 2011 shall be paid $500 flat fee.</p>

<p>For further information, call <span style=""font-family:calibri,sans-serif""><span style=""font-size:11.0pt"">(805) 706-3600</span></span>.</p>",6/6/11,,,
22,Press Release,,,Identity Theft Scam Alert,"<p>The San Luis Obispo Superior Court has become aware of telephone scams by identity thieves targeting members of the public. Identity thieves call, claiming to be court employees in need of personal information for jury service.</p>

<p>Similar scams have been reported recently in other California counties as well as other states. (See more details of <a href=""http://www.lasuperiorcourt.org/jury/pdf/juryscam.pdf"">a similar scam</a> at the Los Angeles Superior Court.)</p>

<p>We urge all members of the public to be aware of such scams and be careful whenever you reveal confidential information over the telephone.</p>

<h4>Our Policy</h4>

<p>The San Luis Obispo Superior Court does not – and will not – telephone jurors or potential jurors to ask for personal financial information.</p>

<h4>What To Do</h4>

<p>The Court suggests that you hang up on any caller who claims to be a court employee seeking your financial information.</p>",,,,
23,Notice,,,CORONAVIRUS/COVID-19 RESPONSE INFORMATION,"<p>

                        <strong>NOTICE: </strong>Effective Friday, March 20, 2020

<ul>
        <li>Public access to the courthouses in Paso Robles and Grover Beach will be closed</li>
        <li>Public access to the San Luis Obispo courthouse will be limited those appearing for matters on the calendar that day</li>
        <li>Remote options including contact by telephone are now reserved for critical and essential court business only.</li>
</ul>

<p><a href=""https://www.slo.courts.ca.gov/4802.htm"">Click here for more information on this announcement and other COVID-19 related information.</a></p>",3/20/20,,,
24,Court Update,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Local_Rules_To_Be_Eff_Jan_2018.pdf,Local Rules of Court,Local Rules of Court,,,,,
25,Court Update,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Proposed_Changes_to_Local_Rules_Eff_July_1_2018.pdf,Proposed Local Rules Changes,Proposed Local Rules Changes,,,,,
26,Court Update,https://www.slo.courts.ca.gov/documents/san-luis-obispo/2020_Judicial_Assignments.pdf,2020 Judicial Assignments,2020 Judicial Assignments,,,,,
27,Court Update,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Designation_of_Complex_Cases.pdf,Designation of Complex Cases,Designation of Complex Cases,,,,,
28,Court Update,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Notice_Re_Civil_Court_Reporters_110111.pdf,Court Reporters &amp; Civil Law Matters,Court Reporters &amp; Civil Law Matters,,,,,
29,Court Update,https://www.slo.courts.ca.gov/gi/uiapprovedarbitrators.htm,Uninsured/Underinsured Approved Arbitrators,Uninsured/Underinsured Approved Arbitrators,,,,,
