id,file_url,title,category,tags,topics,divisions,department
39,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_006_SLO.pdf,PR006 - San Luis Obispo First and Final Report of Executor/Administrator,PR and SC Series,,,,
40,https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr007.pdf,PR007 - Order on First and Final Report of Executor/Administrator,PR and SC Series,,,,
41,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_008_SLO.pdf,PR008 - Order Appointing Counsel for Conservatee,PR and SC Series,,,,
42,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_009_SLO.pdf,PR009 - LPS Conservatorship Petition,PR and SC Series,,,,
43,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_010_SLO.pdf,PR010 - LPS Conservatorship Doctor declaration,PR and SC Series,,,,
44,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_011_SLO.pdf,PR011 - LPS Conservatorship Notice,PR and SC Series,,,,
45,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_012_SLO.pdf,PR012 - LPS Conservatorship Proof of Service,PR and SC Series,,,,
46,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_013_2_SLO.pdf,PR013 - LPS Conservatorship Citation,PR and SC Series,,,,
47,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_014_SLO.pdf,PR014 - LPS Conservatorship Order,PR and SC Series,,,,
48,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR015_updated.pdf,PR015 - LPS Letters of Conservatorship,PR and SC Series,,,,
49,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_016_SLO.pdf,PR016 - Petition for visitation - guardianship,PR and SC Series,,,,
50,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_017_SLO.pdf,PR017 - Order for Visitation,PR and SC Series,,,,
51,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_018_SLO.pdf,PR018 - Verification,PR and SC Series,,,,
52,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_019_SLO.pdf,PR019 - Declaration of Diligent search,PR and SC Series,,,,
53,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_020_SLO.pdf,PR020 - Objection,PR and SC Series,,,,
54,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_021_SLO.pdf,PR021 - Notice to Franchise Tax Board,PR and SC Series,,,,
55,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_022_SLO.pdf,PR022 - Notice to Department of Health,PR and SC Series,,,,
56,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_023_SLO.pdf,PR023 - Notice to Victim's Compensation Board,PR and SC Series,,,,
57,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_025_SLO.pdf,PR025 - Petition for order to dispense with accounting,PR and SC Series,,,,
58,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR0_26_SLO.pdf,PR026 - Order on Petition for order to dispense with accounting,PR and SC Series,,,,
59,https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR027_Regional_Center_Report.pdf,PR027 - Regional Center Report,PR and SC Series,,,,
60,https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc001.pdf,SC001 - Request for Dismissal - Small Claims,PR and SC Series,,,,
61,https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc002.pdf,SC002 - Declaration re: Default in Payments (After Judgment),PR and SC Series,,,,
62,https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc003.pdf,SC003 - Request to Enter Satisfaction of Judgment,PR and SC Series,,,,
63,https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc004.pdf,SC004 - Declaration of Default in Payments (After Mediation),PR and SC Series,,,,
64,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Plaintiffs_Claim_SC100.pdf,SC100 - Plaintiff's Claim and Order to Go to Small Claims Court,PR and SC Series,,,,
65,https://www.slo.courts.ca.gov/documents/san-luis-obispo/W001_Petition_for_Alt_Writ_non_DUI.pdf,W001 - Petition for Alternative Writ of Mandate,Non-DUI Petitions,,,,
66,https://www.slo.courts.ca.gov/documents/san-luis-obispo/W002_Alt_writ_and_OSC_non_DUI.pdf,W002 - Alternative Writ of Mandate Order and OSC,Non-DUI Petitions,,,,
67,https://www.slo.courts.ca.gov/documents/san-luis-obispo/W003_Ord_staying_suspension_non_DUI.pdf,W003 - Order Staying Suspension or Revocation,Non-DUI Petitions,,,,
68,https://www.slo.courts.ca.gov/documents/san-luis-obispo/W004_Petition_for_Alt_Writ_DUI.pdf,W004 - Petition for Alternative Writ of Mandate,DUI Petitions,,,,
69,https://www.slo.courts.ca.gov/documents/san-luis-obispo/W005_Alt_writ_and_OSC_DUI.pdf,W005 - Alternative Writ of Mandate Order and OSC,DUI Petitions,,,,
70,https://www.slo.courts.ca.gov/documents/san-luis-obispo/W006_Ord_staying_suspension_DUI.pdf,W006 - Order Staying Suspension or Revocation,DUI Petitions,,,,
71,https://www.slo.courts.ca.gov/documents/san-luis-obispo/jv220_000.pdf,Application for Order for Psychotropic Medication - Juvenile,Courtroom Operations,,,,
72,https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_label.pdf,Exhibit Labels,Courtroom Operations,,,,
73,https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_list.pdf,Exhibit List,Courtroom Operations,,,,
74,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request-for-duplicate-electronic-Rec.pdf,Request for Duplicate Electronic Recording,Courtroom Operations,,,,
75,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Ancillary_Services.pdf,Request for Ancillary Services,Criminal Operations,,,,
76,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_Case_Info_3.pdf,Request for Case Information,Criminal Operations,,,,
77,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Bulk_Case_Information_May_2012_Fillable.pdf,Request for Bulk Case Information,Criminal Operations,,,,
78,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Order_for_Disposition_of_Property.pdf,Order for Disposition of Property,Criminal Operations,,,,
79,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_Duplicate_Electronic_Recording.pdf,Request for Duplicate Electronic Recording,Criminal Operations,,,,
80,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Petition_for_Restricted_License_2.pdf,Petition for Restricted License,Criminal Operations,,,,
81,https://www.slo.courts.ca.gov/documents/san-luis-obispo/CHANGE_OF_ADDRESS.pdf,Change of Address,Criminal Operations,,,,
82,https://www.slo.courts.ca.gov/documents/san-luis-obispo/FTA_Collections_Petition.pdf,Failure To Appear Collections Petition,Criminal Operations,,,,
83,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Petition_for_Reduction_to_Misdemeanor_Resentencing.pdf,Petition for Reduction to Misdemeanor - Resentencing,Criminal Operations,,,,
84,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Motion_to_Reduce_Felony_to_Misdemeanor_Probation.pdf,Motion to Reduce Felony to Misdemeanor (Probation),Criminal Operations,,,,
85,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Response_and_Order_on_Petition_for_Resentencing.pdf,Response and Order on Petition for Resentencing,Criminal Operations,,,,
86,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Traffic_School_Petition.pdf,Traffic School Petition,Traffic Forms,,,,
87,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Infraction_FTA_Petition.pdf,Infraction Failure To Appear Petition,Traffic Forms,,,,
88,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Petition_to_Vacate_the_Civil_Assessment_FTP.pdf,Petition to Vacate the Civil Assessment (Failure To Pay),Traffic Forms,,,,
89,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Authorization_to_Apply_Bail.pdf,2510-14 - Authorization to Apply Bail (revised 5/1/1999),Traffic Forms,,,,
90,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Traffic_Counter_Arraignment_by_Counsel_Form_2520-163_TS.PDF,2520-163T - Traffic Counter Arraignments by Counsel (revised 3/14/2017),Traffic Forms,,,,
91,https://www.slo.courts.ca.gov/documents/san-luis-obispo/2019_Complete_Bail_Schedule_Notice_Instructions.pdf,2019 Associated Cover Letter,Bail Schedule,,,,
92,https://www.slo.courts.ca.gov/documents/san-luis-obispo/2017_Speed_Chart.pdf,2019 Speed Table Addendum,Bail Schedule,,,,
93,https://www.slo.courts.ca.gov/documents/san-luis-obispo/2017_Wildlife_Per_Specimen_Table.pdf,2019 Wildlife Per Specimen Addendum,Bail Schedule,,,,
94,https://www.slo.courts.ca.gov/documents/san-luis-obispo/2017_Weight_Chart.pdf,2019 Weight Chart Addendum,Bail Schedule,,,,
