"name","nsmi_code","uuid","parent_uuid"
"Legal Services Funding","2010600","bf472c23-b1f0-480a-96cb-970e228012e6","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Legal Services Programs","2013000","c99e29b7-ec27-4ade-b56e-4235055d85a6","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Legal Services Restrictions","2010700","e9c84eeb-28f3-4b9c-84d8-dd5214cd1a59","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Legal Services Web Sites","2011300","cfe0e91c-54d6-4ff8-abb4-a98e7e3c1d48","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Bar Associations","2011303","ece0019d-efbf-4e01-9f4d-575145344be3","cfe0e91c-54d6-4ff8-abb4-a98e7e3c1d48"
"Job Listings","2011304","512e3bdf-af20-4fd2-9a39-efcea546fa72","cfe0e91c-54d6-4ff8-abb4-a98e7e3c1d48"
"National Support Centers","2011302","e639fd1d-5111-4417-a981-6e797245b034","cfe0e91c-54d6-4ff8-abb4-a98e7e3c1d48"
"Other","1990000","db328be4-c00a-4854-ade3-d7e2a17aeb71",""
"Other National Organizations","2011310","e12c7ca5-1d1f-4800-8377-9a22dd401742","cfe0e91c-54d6-4ff8-abb4-a98e7e3c1d48"
"State or Local Programs","2011301","293ce6c4-17ec-47f5-842e-298170596872","cfe0e91c-54d6-4ff8-abb4-a98e7e3c1d48"
"Other Attorneys/Legal Services","2010099","96361517-8e12-4e70-a2f1-5af20d2487c1","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Paralegals","2010800","73117b25-8894-4ccd-b1e2-2865ee5ee050","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Pro Bono","2010900","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Awards and Recognition","2010901","c362d0ce-84bc-454e-9415-3dcc81ff8a78","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Corporate Pro Bono","2010940","966f7b74-a471-4215-8931-2979b8938521","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"International Pro Bono","2010920","d9bbf3c5-4ad6-46cc-b23e-7b17f4ee5581","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Transnational collaboration","2010921","58f24aaa-9a0b-4e8b-a6ed-66d0d7b700ad","d9bbf3c5-4ad6-46cc-b23e-7b17f4ee5581"
"Other Pro Bono","2010999","acb7338e-56de-4679-8bfc-6fc2df35d40c","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Pro Bono Definitions","2010904","afc457f2-0e67-4e9b-b23d-3e52959a5bb4","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Pro Bono Policies","2010905","8e26d106-5ca5-4b4a-a114-8817422dd741","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Pro Bono Reports","2010906","52ae6d03-5498-4db9-bde1-75ae21bed964","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Recruiting","2010907","a7768085-9c9c-43d0-827e-f8c4db77a62d","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Retainer Letters","2010908","a56a0faf-27fd-48f2-b389-97bcb2c62849","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Rotations, Internships, and Externships","2010930","28eee86a-32c3-40b0-9143-aa5daba6a1f2","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Satellite Offices","2010909","a342b756-2da6-4170-98a4-e570c0600180","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Summer Associates","2010911","20ac9619-9cff-408f-8d8f-38da2789c66e","985eab5c-73a8-42e3-ac1c-38ee6e75c9d3"
"Pro Se","2011000","5624324a-6e47-4529-bccf-532cf5ad5fb2","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Access to Justice","2011001","7e464fec-7dda-4dd1-a83e-29066f407c1f","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Communities","2011002","0ca3a9ac-b799-40c2-ba77-53861044c850","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Courthouse Advice Desks","2011070","00d46cf2-b99a-44b7-bc80-4cf6aa47a1ce","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Courts","2011003","36ea87a7-4dfa-4016-8d58-3c60a65b5c50","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Development","2011004","8cacfc7d-a081-4d5d-9391-ef5735096317","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Ethics","2011005","74425669-08b5-4c11-bbba-adc0c94ce485","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Forms","2011006","25cdfa55-34f0-4c78-a3c3-095f2b0b053a","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Guidelines/Recommendations","2011007","821a8241-5eae-4b40-9c5d-a1da74aff8dc","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Innovations","2011008","e1430d02-2c2f-4622-b110-d1d7d6ed4a0a","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Judges","2011009","0baeb296-4ec3-49d8-98bc-8120c8e5555d","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Lawyers","2011010","36acf4b2-1d09-4b9c-bd2b-feb66f1c4e46","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Legal Issues","2011020","5f7c3333-c0d7-459c-9a7a-c4e68aa4a8e3","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Other Pro Se","2011099","e867aa8e-4dae-46fc-8fc3-ff87195ae007","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Practitioner","2011011","2a91069b-448d-4ece-926a-4aba81b447a4","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Self-Help Centers","2011060","373f618c-0098-4a81-a81c-8f97e0a688be","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"State Specific Resources","2011012","b2c1eb23-bea8-4633-b515-d0b5601c11c8","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Support and Funding","2011013","2772d830-c54e-4cd2-bf0f-b42d5b79cd3d","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Task Forces","2011014","8b22a6f3-ea4e-4670-8959-2746753bb832","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Technology","3140000","b719a5ec-deb7-4d45-a722-607c8cfc7a85",""
"Training and Education","2011040","03cb94f3-8075-4630-95cc-7c16dfbe7423","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Trends","2011050","b2003fb6-997f-4813-a751-98a92336809a","5624324a-6e47-4529-bccf-532cf5ad5fb2"
"Public Awareness","2011600","ebbc3c7f-5849-48a2-8685-8ac6fde8d6ef","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Section 1983 Suits","2011100","8546a1f3-f768-4c49-8e41-5be104cdfb45","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Section 1988 Suits","2011200","89b0eb3c-c436-4b5e-865e-8fd2bb03c3b1","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"State Planning","2011700","eb9e4cb4-7eab-425f-80d1-c618b3848429","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Bankruptcy","1010000","20d0ad46-5602-440c-bd5a-13a28f48979c",""
"Automatic Stay","1010100","db0e52f4-5656-4f14-88cb-ae2b757d591a","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Chapter  7","1010400","7beaed23-5ee9-4dbf-afc5-8abddf08de22","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Chapter 11","1010500","374adc48-0edd-40c5-a6d1-7b845f840c62","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Chapter 12","1010600","708495aa-54a6-4350-997d-36e02d6e8749","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Chapter 13","1010700","1a8d14ff-7c81-486d-b4ad-eb57a951bfac","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Collection Proof Debtor","1020800","e44e0afc-8671-464c-a157-29472a673f24","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Debt Management Counseling","1020700","42452beb-9f34-4d4a-b2ae-d1a067524abc","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Discharge","1010200","58f59390-fdff-4299-876d-5406a4081ae1","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Exceptions","1010101","4f3e816e-1f46-46e5-9d0e-fe50576f9e1f","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Exemptions","1010300","a5e0e30a-b0ce-4b66-80de-d39fcd605d7b","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Other Bankruptcy","1010099","cc8bccff-bdf5-439b-9d65-082220fb6609","20d0ad46-5602-440c-bd5a-13a28f48979c"
"Civil Procedure / Administrative Law","2020000","56125ce8-0121-4f9f-a740-43b49c927f83",""
"Abstention","2020100","648781dd-0a01-4d7f-a639-48654544b0c6","56125ce8-0121-4f9f-a740-43b49c927f83"
"Administrative Law","2023500","a7a90888-a33c-45aa-9838-6624c31da72a","56125ce8-0121-4f9f-a740-43b49c927f83"
"General Assistance Hearing Procedures","2023520","755b8a1e-affb-488e-9a96-6f125a18db12","a7a90888-a33c-45aa-9838-6624c31da72a"
"Health & Human Services Hearing Procedures","2023510","4e9b7c3e-20cb-43bf-acfb-0d4596170888","a7a90888-a33c-45aa-9838-6624c31da72a"
"Labor Hearing Procedures","2023530","438fbf7e-497c-4be5-8ba3-f7c5c7eb9076","a7a90888-a33c-45aa-9838-6624c31da72a"
"Other Administrative Law","2023599","1a9f4e1c-f184-41e8-bde3-6e8bd3d0ca6b","a7a90888-a33c-45aa-9838-6624c31da72a"
"SSA Hearing Procedures","2023540","068e8451-9c13-4b15-8a38-2d250b370497","a7a90888-a33c-45aa-9838-6624c31da72a"
"Alternative Dispute Resolution/Mediation","2023900","dcac9c0c-45bb-4b1b-92b9-37148ff95707","56125ce8-0121-4f9f-a740-43b49c927f83"
"Appeals","2020500","b27a0075-d6f9-4825-850d-dfe976f7a0a1","56125ce8-0121-4f9f-a740-43b49c927f83"
"Appointment of Counsel","2024000","fca6333e-444b-4a2b-a0a7-3ea2c13bc8db","56125ce8-0121-4f9f-a740-43b49c927f83"
"Arbitrary and Capricious","2020200","3b415099-d1ed-4bc8-b700-7c073d6a7989","56125ce8-0121-4f9f-a740-43b49c927f83"
"Bias","2020300","1dfd6f7b-f613-4d8d-adb7-19d438bac35e","56125ce8-0121-4f9f-a740-43b49c927f83"
"Class Action","2020600","4c119a3e-7dbb-479b-a220-4bf9213a3ab0","56125ce8-0121-4f9f-a740-43b49c927f83"
"Certification","2020602","b958e585-9b33-426b-b1ad-d8c42f51ff18","4c119a3e-7dbb-479b-a220-4bf9213a3ab0"
"Class Definition","2020601","6dd4e0d3-c918-4d61-b403-2089cb759c8b","4c119a3e-7dbb-479b-a220-4bf9213a3ab0"
"Other Class Action","2020699","c33b442d-c4b9-4f34-bb92-d72e3c6bef49","4c119a3e-7dbb-479b-a220-4bf9213a3ab0"
"Consent Decrees/Settlements","2020700","0007e0f3-8ec9-4772-962d-2bd79fd0dc5e","56125ce8-0121-4f9f-a740-43b49c927f83"
"Contempt","2023700","adfa2e45-74f6-4bf1-baf5-b7eabed49785","56125ce8-0121-4f9f-a740-43b49c927f83"
"Court Costs","2020800","74e7073a-4b17-4238-821a-6ff16ebee2e9","56125ce8-0121-4f9f-a740-43b49c927f83"
"Damages","2034100","ed06d5d2-52f1-425b-8285-44becc57db22","56125ce8-0121-4f9f-a740-43b49c927f83"
"Delay in Processing","2020900","d8fa4bbb-bc71-4428-8ce8-2c53c89c99af","56125ce8-0121-4f9f-a740-43b49c927f83"
"Discovery","2021000","86ff3d31-eef9-4b92-a033-d9f4923b6585","56125ce8-0121-4f9f-a740-43b49c927f83"
"Depositions","2021001","5513b341-d20e-40df-846a-5f083fe3e2b5","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Experts","2021002","47b59574-3985-4f0b-a9b1-b0ca84a28652","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Extension of Time to File or Serve","2021007","4397cf97-eb22-41f7-b6da-8748ab7f9b86","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Interrogatories","2021003","ac6705a8-bcab-462c-85b2-e006abf612e1","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Non-complaince with Rules","2021008","284009da-3d81-415a-8fdc-8452cac64069","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Other Discovery","2021099","5f4f9c7a-e055-456a-992d-3db925d5a36d","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Privileges","2021005","7432fb4b-8b70-41e6-960e-f6c57807884f","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Production of Documents","2021004","479fef59-f9bb-445f-b404-6e77bd2c55ff","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Sanctions","2021006","c872efe8-3e65-4863-a8b7-1bb0a32e5f36","86ff3d31-eef9-4b92-a033-d9f4923b6585"
"Discretion","2020400","52dc67fb-5194-4fad-a520-9b615e7c1097","56125ce8-0121-4f9f-a740-43b49c927f83"
"Due Process","2024200","1cbc7277-692c-4082-8361-c5c75f0cfe29","56125ce8-0121-4f9f-a740-43b49c927f83"
"Estoppel","2021100","ae970306-e558-4a77-a1d2-e0ad8bf0e48d","56125ce8-0121-4f9f-a740-43b49c927f83"
"Evidence","2080000","ab705d6f-3b00-464a-8792-110739b0e856",""
"Immunity","2021400","9b63a884-6c3d-44f6-9573-11f5b35bb637","56125ce8-0121-4f9f-a740-43b49c927f83"
"Other Immunity","2021499","dbef5f06-8760-4295-aa35-1297f2c89d3d","9b63a884-6c3d-44f6-9573-11f5b35bb637"
"Qualified Immunity","2021401","c248110e-d60d-46a4-80c8-dc31edd270a3","9b63a884-6c3d-44f6-9573-11f5b35bb637"
"Sovereign Immunity","2021402","0d575ca9-28f6-4757-ab30-fedc255db91b","9b63a884-6c3d-44f6-9573-11f5b35bb637"
"In Forma Pauperis","2021500","d64f36fd-dfb2-482c-9a30-7afd646fb27d","56125ce8-0121-4f9f-a740-43b49c927f83"
"Judgment","2021700","78d6cf2f-e534-4ccf-b9f8-30775dc08f26","56125ce8-0121-4f9f-a740-43b49c927f83"
"Declaratory Judgments","2021702","1df048dd-5207-42a4-a89c-5c8c3efbe5a6","78d6cf2f-e534-4ccf-b9f8-30775dc08f26"
"Default Judgment","2021701","2ace4913-26f8-4b36-81cf-a72c9aad8554","78d6cf2f-e534-4ccf-b9f8-30775dc08f26"
"Enforcement of Judgments","2021703","f4001c0e-46db-4621-a0ce-4e7b5d9c9dff","78d6cf2f-e534-4ccf-b9f8-30775dc08f26"
"Full Faith and Credit","2021704","6af83772-fac7-4ed5-b3a3-44de1a6d4f9d","78d6cf2f-e534-4ccf-b9f8-30775dc08f26"
"Other Judgment","2021799","2ebf29d2-7aac-4e72-b21b-3069218c334f","78d6cf2f-e534-4ccf-b9f8-30775dc08f26"
"Juries","2021600","e618fc78-8ef0-4f50-9681-8678de1a2286","56125ce8-0121-4f9f-a740-43b49c927f83"
"Jurisdiction","2021800","ab32cd40-c6a0-4f01-8c02-56d8c55065a1","56125ce8-0121-4f9f-a740-43b49c927f83"
"Case and Controversy","2021801","0549ced5-f323-48fe-b70a-a3fe1fe55b2a","ab32cd40-c6a0-4f01-8c02-56d8c55065a1"
"Diversity of Citizenship","2021802","dec2352c-dd9b-4069-b680-9e575f3e6ebe","ab32cd40-c6a0-4f01-8c02-56d8c55065a1"
"Exhaustion of Remedies","2021803","62cc93e0-d11a-452e-b028-a8788f0b634e","ab32cd40-c6a0-4f01-8c02-56d8c55065a1"
"Federal Question","2021804","11177235-7657-4009-983b-6faf1de60aa3","ab32cd40-c6a0-4f01-8c02-56d8c55065a1"
"Other Jurisdiction","2021899","384f3e8e-2878-4902-9cd7-0fc45cca8033","ab32cd40-c6a0-4f01-8c02-56d8c55065a1"
"Pendent Jurisdiction","2021806","1759adc3-3ccc-4048-b675-c687ac6fc470","ab32cd40-c6a0-4f01-8c02-56d8c55065a1"
"Personal Jurisdiction","2021805","6ee71e2d-197b-499d-a933-3b217ba5209e","ab32cd40-c6a0-4f01-8c02-56d8c55065a1"
"Mandamus","2024100","29f2b806-3bfc-40cb-8a12-26382e4d0739","56125ce8-0121-4f9f-a740-43b49c927f83"
"Mootness","2021900","cb6ea2c6-a14c-4d33-920a-1f761a8bc9e5","56125ce8-0121-4f9f-a740-43b49c927f83"
"Nonacquiescence","2022000","2e1e8bb7-e4a9-4930-9af7-96551b39d3af","56125ce8-0121-4f9f-a740-43b49c927f83"
"Other Civil Procedure/Administrative Law","2020099","fc4e9654-2cba-4f7f-a947-19839f2cd55f","56125ce8-0121-4f9f-a740-43b49c927f83"
"Parties","2024400","d27989fa-3881-4b3d-a7d1-89b2b69d5500","56125ce8-0121-4f9f-a740-43b49c927f83"
"Pleadings","2023800","3798fb9d-ff1c-428f-af20-f1ff9b6bd438","56125ce8-0121-4f9f-a740-43b49c927f83"
"Private Right of Action","2022100","9ab3e2bb-dcaa-48c0-a40b-68d669dc86bf","56125ce8-0121-4f9f-a740-43b49c927f83"
"Pro Se","2022200","d4c4d2d6-9f68-4f3a-a66e-a9a15ec797ff","56125ce8-0121-4f9f-a740-43b49c927f83"
"Remedies","2022300","cd3202cd-06a4-40a6-bff1-9bce1efe2641","56125ce8-0121-4f9f-a740-43b49c927f83"
"Damages","2022303","af990ec3-ba42-4bc5-858c-3eca55512192","cd3202cd-06a4-40a6-bff1-9bce1efe2641"
"Injunctive Relief","2022301","fa828d92-5cb1-4e80-a48f-27d4a84d2460","cd3202cd-06a4-40a6-bff1-9bce1efe2641"
"Other Remedies","2022399","53ea26e8-618d-420c-8ae9-198b4322fab9","cd3202cd-06a4-40a6-bff1-9bce1efe2641"
"Preliminary Injunctions","2022302","a8508beb-e9cc-4f90-bf42-ca2feb3abab0","cd3202cd-06a4-40a6-bff1-9bce1efe2641"
"Removal","2022500","6f89d977-2720-4af0-877d-de1f0974d4c3","56125ce8-0121-4f9f-a740-43b49c927f83"
"Res Judicata","2022400","1592fe43-4a19-4b06-8652-494d48ab8025","56125ce8-0121-4f9f-a740-43b49c927f83"
"Ripeness","2022600","4a78c920-cb10-4538-a550-18e1bda163c5","56125ce8-0121-4f9f-a740-43b49c927f83"
"Rulemaking Procedure","2022700","bb69834b-72f7-47c2-aa08-81e8956b6ed3","56125ce8-0121-4f9f-a740-43b49c927f83"
"Notice","2022701","e3cd667d-a1a5-403a-b9c5-6e6961146cbe","bb69834b-72f7-47c2-aa08-81e8956b6ed3"
"Other Rulemaking Procedure","2022799","da1af96b-c8f7-4fb5-8444-29b82428378a","bb69834b-72f7-47c2-aa08-81e8956b6ed3"
"Proposed Rule Change","2022702","7e0d2e9a-a829-4f73-83a5-d94cf95b5975","bb69834b-72f7-47c2-aa08-81e8956b6ed3"
"Service of Process","2022800","5f8725f7-f244-4423-a576-cd97472ccaf9","56125ce8-0121-4f9f-a740-43b49c927f83"
"Standards of Review","2022900","95903aa9-084c-419c-93a4-e94da9729360","56125ce8-0121-4f9f-a740-43b49c927f83"
"Standing","2023000","eddc8f94-f04d-461b-ac23-67748d7bf652","56125ce8-0121-4f9f-a740-43b49c927f83"
"State Rules of Civil Procedure","2023600","da2137fc-169d-4c7d-ab23-a4c76593ecc6","56125ce8-0121-4f9f-a740-43b49c927f83"
"Statutes of Limitation","2023100","6a8983ce-4c45-48d1-863d-82cfc281f76a","56125ce8-0121-4f9f-a740-43b49c927f83"
"Computation of Time","2023101","cd7938e9-bc33-4df2-b8de-0a1f6401c877","6a8983ce-4c45-48d1-863d-82cfc281f76a"
"Other Statutes of Limitation","2023199","9371f768-e88d-4fc8-ab9a-6f3887765790","6a8983ce-4c45-48d1-863d-82cfc281f76a"
"Waiver","2023102","1d134cc9-eadd-40e2-8720-264809fb6619","6a8983ce-4c45-48d1-863d-82cfc281f76a"
"Summary Judgment","2024300","8913200d-5815-4416-b015-76f794f8b0d2","56125ce8-0121-4f9f-a740-43b49c927f83"
"Transcripts","2023200","a7b6da12-2bd8-4f1a-877c-8dba4ef6d70a","56125ce8-0121-4f9f-a740-43b49c927f83"
"Venue and Transfer","2023300","ac4dc232-c6ab-43fe-86fe-eee9a1f12232","56125ce8-0121-4f9f-a740-43b49c927f83"
"Waiver","2023400","c28b1c30-eeb2-4b1d-bb35-3bb216ab556a","56125ce8-0121-4f9f-a740-43b49c927f83"
"Civil Rights","1850000","ffa2e817-b001-4cc8-85f0-dff71110ce47",""
"Activism","1850900","3ebe9a19-b129-483d-875c-07f60137f61a","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Age Discrimination","1851100","3b000d65-6b8e-458c-b16a-452ea19c236e","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Civil Right to Counsel","1850800","438a06aa-4382-4191-8e91-3bd32ae108b8","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Disability Rights","1840000","434fa128-686c-4391-990c-eaf6d981a56a","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Due Process","1850100","2533016d-f979-4e49-8b21-dae688366961","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Deprivation of Liberty","1850101","8793221d-ad5d-4bc6-91c0-f1ed45c84b22","2533016d-f979-4e49-8b21-dae688366961"
"Deprivation of Property","1850102","63ef81eb-090c-4ef0-a396-a008198fb5b1","2533016d-f979-4e49-8b21-dae688366961"
"Notice and Opportunity To Be Heard","1850103","801ea959-242f-4448-bcc4-6c9801845d9d","2533016d-f979-4e49-8b21-dae688366961"
"Other Due Process","1850199","32ffeec3-49b3-4843-9098-80215acdfbfb","2533016d-f979-4e49-8b21-dae688366961"
"Remedies","1850104","b0744b79-625c-4352-8dd5-8fdc5c5f7a13","2533016d-f979-4e49-8b21-dae688366961"
"Employment Discrimination","1210500","c6497d2e-082d-4569-9ba5-5b6799190691","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Equal Protection","1850200","b011e3ab-0adb-40a5-a018-cde0df434abe","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Federalism","1851200","a9278e76-d2a0-4e65-8398-286523a96bcd","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"First Amendment Protections","1850400","2ce4ddc2-dd8a-418a-9a6c-8f72df252754","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Association","1850401","93fa0cde-d76f-40fe-82b5-8be185997279","2ce4ddc2-dd8a-418a-9a6c-8f72df252754"
"Other First Amendment","1850499","3673d90e-b694-4197-bb00-3cfd581657b4","2ce4ddc2-dd8a-418a-9a6c-8f72df252754"
"Religion","1850402","b68c5e2b-9e21-4a8f-8370-9913b0e27f66","2ce4ddc2-dd8a-418a-9a6c-8f72df252754"
"Speech","1850403","fc6468bd-1899-4734-93c1-20521861207a","2ce4ddc2-dd8a-418a-9a6c-8f72df252754"
"Gay Rights","1851300","bd7d5541-5d47-4465-b09f-d838db738e71","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Health Care","1891400","49cf25b7-7e06-4965-982d-89f7d3c78065","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"HIV Discrimination","1840700","39248026-5cd0-49a1-b840-73bff7a5ce66","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Housing","1690000","cdb95775-dcc9-4f14-a692-bbc443f0ad6f",""
"Human Trafficking","1860000","efcebd2a-f7e1-4234-89af-3ac851540d7a","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Other Human Trafficking","1860099","94af589f-a8c3-4e0c-8814-5fa21537aac5","efcebd2a-f7e1-4234-89af-3ac851540d7a"
"Language Access","1890700","5086fd2d-a76f-4146-890e-b28378195fb8","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Mental Health Rights","1820000","39e31b66-d794-46c5-b1a0-9ada788ef86f","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Other Civil Rights","1850099","ebeb7db4-9684-44dd-b657-c9e6e68059d3","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Prisoners' Rights","1830000","59ad0691-a7f4-477c-ab80-e43de8deb8bc","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Privacy","1850500","8a05903a-7949-4507-862c-976590f6b438","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Racial Justice","1851700","2fc7720a-aadb-44ce-b00e-8982af0c50d0","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Right To Travel","1850300","3f91237d-db08-41d2-bf26-43ccf871bf72","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Search and Seizure","1850600","c2c19d7f-dd2a-4dba-b906-76d379551f64","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Sex Work","1860100","f37e543e-4018-44b6-a5f4-81bb16de2fc5","ffa2e817-b001-4cc8-85f0-dff71110ce47"
"Voting Rights","2060000","40d00c34-9486-4bd3-a16f-9ec00b45fe2f","ffa2e817-b001-4cc8-85f0-dff71110ce47"
