parent_url,parent_rfp_title,file_url,file_basename,file_media_base_name,media_label,field_tags,field_document_type,field_category,delta
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-9-DVBE-Declaration.docx,RFP-HR-2023-02-LV-Attachment-9-DVBE-Declaration.docx,DVBE Declaration,"RFP-HR-2023-02-LV-Attachment-9-DVBE-Declaration.docx - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - DVBE Declaration",2023,Request (RFP) document,Request (RFP),10
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Employee-Assistance-Program_2.pdf,RFP-HR-2023-02-LV-Employee-Assistance-Program_2.pdf,Request for Proposal,"RFP-HR-2023-02-LV-Employee-Assistance-Program_2.pdf - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Request for Proposal",2023,Request (RFP) document,Request (RFP),1
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Attachment-1-Admin-Rules-Non-IT-Services.pdf,CRS-AK-394-Attachment-1-Admin-Rules-Non-IT-Services.pdf,Attachment 1 – Administrative Rules Governing RFPs,"CRS-AK-394-Attachment-1-Admin-Rules-Non-IT-Services.pdf - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Attachment 1 – Administrative Rules Governing RFPs",2023,Request (RFP) document,Request (RFP),2
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Attachment-2-JCC-Standard-terms-and-conditions.pdf,CRS-AK-394-Attachment-2-JCC-Standard-terms-and-conditions.pdf,Attachment 2 – Hotel Agreement Template,"CRS-AK-394-Attachment-2-JCC-Standard-terms-and-conditions.pdf - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Attachment 2 – Hotel Agreement Template",2023,Request (RFP) document,Request (RFP),3
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Attachment-3-Vendors-Acceptance-of-the-RFPs-Contract-Terms.pdf,CRS-AK-394-Attachment-3-Vendors-Acceptance-of-the-RFPs-Contract-Terms.pdf,Attachment 3 – Vendors Acceptance of Terms and Conditions,"CRS-AK-394-Attachment-3-Vendors-Acceptance-of-the-RFPs-Contract-Terms.pdf - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Attachment 3 – Vendors Acceptance of Terms and Conditions",2023,Request (RFP) document,Request (RFP),4
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Attachment-4-Darfur-Contracting-ACT.pdf,CRS-AK-394-Attachment-4-Darfur-Contracting-ACT.pdf,Attachment 4 – Darfur Contracting Act Certification,"CRS-AK-394-Attachment-4-Darfur-Contracting-ACT.pdf - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Attachment 4 – Darfur Contracting Act Certification",2023,Request (RFP) document,Request (RFP),5
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Attachment-5-Technical-Cost-Proposal.docx,CRS-AK-394-Attachment-5-Technical-Cost-Proposal.docx,Attachment 5 – Submission Form for Technical and Cost Proposal,"CRS-AK-394-Attachment-5-Technical-Cost-Proposal.docx - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Attachment 5 – Submission Form for Technical and Cost Proposal",2023,Request (RFP) document,Request (RFP),6
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Attachment-6-Conflict-of-Interest-Certification-form.pdf,CRS-AK-394-Attachment-6-Conflict-of-Interest-Certification-form.pdf,Attachment 6 – Conflict of Interest Certification Form,"CRS-AK-394-Attachment-6-Conflict-of-Interest-Certification-form.pdf - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Attachment 6 – Conflict of Interest Certification Form",2023,Request (RFP) document,Request (RFP),7
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Attachment-RFP-Hotel-FULL-SERVICE.pdf,CRS-AK-394-Attachment-RFP-Hotel-FULL-SERVICE.pdf,Request for Proposal,"CRS-AK-394-Attachment-RFP-Hotel-FULL-SERVICE.pdf - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Request for Proposal",2023,Request (RFP) document,Request (RFP),1
http://www.courts.ca.gov/75420.htm,"TCPJAC/CEAC Statewide Business Meetings, CRS AK 394",https://www.courts.ca.gov/documents/CRS-AK-394-Intent-to-Award.pdf,CRS-AK-394-Intent-to-Award.pdf,Intent to Award,"CRS-AK-394-Intent-to-Award.pdf - TCPJAC/CEAC Statewide Business Meetings, CRS AK 394 - Intent to Award",2023,Request (RFP) document,Request (RFP),8
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-1-Administrative-Rules.pdf,LSS-2023-07-LV-Attachment-1-Administrative-Rules.pdf,Attachment 1,"LSS-2023-07-LV-Attachment-1-Administrative-Rules.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 1",2023,Request (RFP) document,Request (RFP),2
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-10-Bidder-Declaration.pdf,LSS-2023-07-LV-Attachment-10-Bidder-Declaration.pdf,Attachment 10,"LSS-2023-07-LV-Attachment-10-Bidder-Declaration.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 10",2023,Request (RFP) document,Request (RFP),13
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-2-Master-Agreement-Terms-and-Conditions.docx,LSS-2023-07-LV-Attachment-2-Master-Agreement-Terms-and-Conditions.docx,Attachment 2,"LSS-2023-07-LV-Attachment-2-Master-Agreement-Terms-and-Conditions.docx - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 2",2023,Request (RFP) document,Request (RFP),3
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-3-Acceptance-Terms-and-Conditions.pdf,LSS-2023-07-LV-Attachment-3-Acceptance-Terms-and-Conditions.pdf,Attachment 3,"LSS-2023-07-LV-Attachment-3-Acceptance-Terms-and-Conditions.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 3",2023,Request (RFP) document,Request (RFP),4
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-4-General-Certifications-Form.pdf,LSS-2023-07-LV-Attachment-4-General-Certifications-Form.pdf,Attachment 4,"LSS-2023-07-LV-Attachment-4-General-Certifications-Form.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 4",2023,Request (RFP) document,Request (RFP),5
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-5-Darfur-Certification.pdf,LSS-2023-07-LV-Attachment-5-Darfur-Certification.pdf,Attachment 5,"LSS-2023-07-LV-Attachment-5-Darfur-Certification.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 5",2023,Request (RFP) document,Request (RFP),6
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-6A-Payee-Data-Record-204.pdf,LSS-2023-07-LV-Attachment-6A-Payee-Data-Record-204.pdf,Attachment 6A,"LSS-2023-07-LV-Attachment-6A-Payee-Data-Record-204.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 6A",2023,Request (RFP) document,Request (RFP),7
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-6B-Payee-Data-Record-Supplement-205.pdf,LSS-2023-07-LV-Attachment-6B-Payee-Data-Record-Supplement-205.pdf,Attachment 6B,"LSS-2023-07-LV-Attachment-6B-Payee-Data-Record-Supplement-205.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 6B",2023,Request (RFP) document,Request (RFP),8
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-7-UNRUH-AND-FEHA-CERTIFICATION.pdf,LSS-2023-07-LV-Attachment-7-UNRUH-AND-FEHA-CERTIFICATION.pdf,Attachment 7,"LSS-2023-07-LV-Attachment-7-UNRUH-AND-FEHA-CERTIFICATION.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 7",2023,Request (RFP) document,Request (RFP),9
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-8A-Pricing-Form-and-Menu-Options.docx,LSS-2023-07-LV-Attachment-8A-Pricing-Form-and-Menu-Options.docx,Attachment 8A,"LSS-2023-07-LV-Attachment-8A-Pricing-Form-and-Menu-Options.docx - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 8A",2023,Request (RFP) document,Request (RFP),10
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-8B-Catering-Order-Form.docx,LSS-2023-07-LV-Attachment-8B-Catering-Order-Form.docx,Attachment 8B,"LSS-2023-07-LV-Attachment-8B-Catering-Order-Form.docx - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 8B",2023,Request (RFP) document,Request (RFP),11
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-Attachment-9-DVBE-Declaration.pdf,LSS-2023-07-LV-Attachment-9-DVBE-Declaration.pdf,Attachment 9,"LSS-2023-07-LV-Attachment-9-DVBE-Declaration.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Attachment 9",2023,Request (RFP) document,Request (RFP),12
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/LSS-2023-07-LV-On-Site-Catering-San-Francisco-No-Question-Received.docx,LSS-2023-07-LV-On-Site-Catering-San-Francisco-No-Question-Received.docx,No Questions Received,"LSS-2023-07-LV-On-Site-Catering-San-Francisco-No-Question-Received.docx - On Site Catering San Francisco, LSS-2023-07-LV - No Questions Received",2023,Request (RFP) document,Request (RFP),14
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/RFP-LSS-2023-07-LV-On-Site-Catering-San-Francisco.pdf,RFP-LSS-2023-07-LV-On-Site-Catering-San-Francisco.pdf,Request for Proposal,"RFP-LSS-2023-07-LV-On-Site-Catering-San-Francisco.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Request for Proposal",2023,Request (RFP) document,Request (RFP),1
http://www.courts.ca.gov/75772.htm,"On Site Catering San Francisco, LSS-2023-07-LV",https://www.courts.ca.gov/documents/RFP-LSS-2023-07-On-Site-Catering-San-Francisco-Intent-To-Award.pdf,RFP-LSS-2023-07-On-Site-Catering-San-Francisco-Intent-To-Award.pdf,Intent to Award,"RFP-LSS-2023-07-On-Site-Catering-San-Francisco-Intent-To-Award.pdf - On Site Catering San Francisco, LSS-2023-07-LV - Intent to Award",2023,Request (RFP) document,Request (RFP),15
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010_Cisco_Firewall_Procurement.docx,IFB-SAIC-JCC-010_Cisco_Firewall_Procurement.docx,IFB-SAIC-JCC-010,"IFB-SAIC-JCC-010_Cisco_Firewall_Procurement.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - IFB-SAIC-JCC-010",2022,Request (RFP) document,Request (RFP),0
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Attachment_1_Admin_Rules_for_IT_goods.docx,IFB-SAIC-JCC-010-Attachment_1_Admin_Rules_for_IT_goods.docx,Attachment 1-Adminstrative Rules Governing IFBS,"IFB-SAIC-JCC-010-Attachment_1_Admin_Rules_for_IT_goods.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Attachment 1-Adminstrative Rules Governing IFBS",2022,Request (RFP) document,Request (RFP),1
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Attachment_2_SAIC_PO_Terms_and_Conditions.docx,IFB-SAIC-JCC-010-Attachment_2_SAIC_PO_Terms_and_Conditions.docx,Attachment 2- SAIC Terms and Conditions,"IFB-SAIC-JCC-010-Attachment_2_SAIC_PO_Terms_and_Conditions.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Attachment 2- SAIC Terms and Conditions",2022,Request (RFP) document,Request (RFP),2
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Attachment_3_JBE_Standard_Terms_and_Conditions_for_IT_goods.docx,IFB-SAIC-JCC-010-Attachment_3_JBE_Standard_Terms_and_Conditions_for_IT_goods.docx,Attachment 3- Standard Terms and Conditions,"IFB-SAIC-JCC-010-Attachment_3_JBE_Standard_Terms_and_Conditions_for_IT_goods.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Attachment 3- Standard Terms and Conditions",2022,Request (RFP) document,Request (RFP),3
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Attachment_4_Bidders_Acceptance_of_Terms_and_Conditions.docx,IFB-SAIC-JCC-010-Attachment_4_Bidders_Acceptance_of_Terms_and_Conditions.docx,Attachment 4- Bidders Acceptance of Terms and Conditions,"IFB-SAIC-JCC-010-Attachment_4_Bidders_Acceptance_of_Terms_and_Conditions.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Attachment 4- Bidders Acceptance of Terms and Conditions",2022,Request (RFP) document,Request (RFP),4
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Attachment_5_Small_Business_Declaration.docx,IFB-SAIC-JCC-010-Attachment_5_Small_Business_Declaration.docx,Attachment 5- Small Business Declaration,"IFB-SAIC-JCC-010-Attachment_5_Small_Business_Declaration.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Attachment 5- Small Business Declaration",2022,Request (RFP) document,Request (RFP),5
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Attachment_6_Unruh_Act_and_FEHA_Certification.docx,IFB-SAIC-JCC-010-Attachment_6_Unruh_Act_and_FEHA_Certification.docx,Attachment 6- Unruh Civil Rights Act and California Fair Employment and Housing Act Certification,"IFB-SAIC-JCC-010-Attachment_6_Unruh_Act_and_FEHA_Certification.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Attachment 6- Unruh Civil Rights Act and California Fair Employment and Housing Act Certification",2022,Request (RFP) document,Request (RFP),6
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Attachment_7_Darfur_Contracting_Act_Certification.docx,IFB-SAIC-JCC-010-Attachment_7_Darfur_Contracting_Act_Certification.docx,Attachment 7- Darfur Contracting Act Certification,"IFB-SAIC-JCC-010-Attachment_7_Darfur_Contracting_Act_Certification.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Attachment 7- Darfur Contracting Act Certification",2022,Request (RFP) document,Request (RFP),7
https://www.courts.ca.gov/47431.htm,"Cisco Firewall Procurement, IFB-SAIC-JCC-010",https://www.courts.ca.gov/documents/IFB-SAIC-JCC-010-Intent-to-Award-Posting.docx,IFB-SAIC-JCC-010-Intent-to-Award-Posting.docx,Notice of Intent to Award,"IFB-SAIC-JCC-010-Intent-to-Award-Posting.docx - Cisco Firewall Procurement, IFB-SAIC-JCC-010 - Notice of Intent to Award",2022,Request (RFP) document,Request (RFP),8
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Attach-1-Admin-Rules.pdf,RFP-LSD-2021-100RB-Attach-1-Admin-Rules.pdf,RFP LSD-2021-100RB - Attachment 1 - Administrative Rules,"RFP-LSD-2021-100RB-Attach-1-Admin-Rules.pdf - Photography Services, RFP LSD-2021-100RB - RFP LSD-2021-100RB - Attachment 1 - Administrative Rules",2022,Request (RFP) document,Request (RFP),1
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Attach-2-Agmt.pdf,RFP-LSD-2021-100RB-Attach-2-Agmt.pdf,RFP LSD-2021-100RB - Attachment 2 - Agreement,"RFP-LSD-2021-100RB-Attach-2-Agmt.pdf - Photography Services, RFP LSD-2021-100RB - RFP LSD-2021-100RB - Attachment 2 - Agreement",2022,Request (RFP) document,Request (RFP),2
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Attach-3-Accept-TermsandConditions.pdf,RFP-LSD-2021-100RB-Attach-3-Accept-TermsandConditions.pdf,RFP LSD-2021-100RB - Attachment 3 - Acceptance of Terms and Conditions,"RFP-LSD-2021-100RB-Attach-3-Accept-TermsandConditions.pdf - Photography Services, RFP LSD-2021-100RB - RFP LSD-2021-100RB - Attachment 3 - Acceptance of Terms and Conditions",2022,Request (RFP) document,Request (RFP),3
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Attach-4-Gen-Certs.pdf,RFP-LSD-2021-100RB-Attach-4-Gen-Certs.pdf,RFP LSD-2021-100RB - Attachment 4 - General Certifications,"RFP-LSD-2021-100RB-Attach-4-Gen-Certs.pdf - Photography Services, RFP LSD-2021-100RB - RFP LSD-2021-100RB - Attachment 4 - General Certifications",2022,Request (RFP) document,Request (RFP),4
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Attach-5-Darfur.pdf,RFP-LSD-2021-100RB-Attach-5-Darfur.pdf,RFP LSD-2021-100RB - Attachment 5 - Darfur Contracting Act,"RFP-LSD-2021-100RB-Attach-5-Darfur.pdf - Photography Services, RFP LSD-2021-100RB - RFP LSD-2021-100RB - Attachment 5 - Darfur Contracting Act",2022,Request (RFP) document,Request (RFP),5
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Attach-6-Payee-Data.pdf,RFP-LSD-2021-100RB-Attach-6-Payee-Data.pdf,RFP LSD-2021-100RB - Attachment 6 - Payee Data Form,"RFP-LSD-2021-100RB-Attach-6-Payee-Data.pdf - Photography Services, RFP LSD-2021-100RB - RFP LSD-2021-100RB - Attachment 6 - Payee Data Form",2022,Request (RFP) document,Request (RFP),6
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Attach-7-Services-Form.pdf,RFP-LSD-2021-100RB-Attach-7-Services-Form.pdf,RFP LSD-2021-100RB - Attachment 7 - Services Proposal Form,"RFP-LSD-2021-100RB-Attach-7-Services-Form.pdf - Photography Services, RFP LSD-2021-100RB - RFP LSD-2021-100RB - Attachment 7 - Services Proposal Form",2022,Request (RFP) document,Request (RFP),7
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Notice-of-Intent-to-Award.pdf,RFP-LSD-2021-100RB-Notice-of-Intent-to-Award.pdf,Intent to Award,"RFP-LSD-2021-100RB-Notice-of-Intent-to-Award.pdf - Photography Services, RFP LSD-2021-100RB - Intent to Award",2022,Request (RFP) document,Request (RFP),8
https://www.courts.ca.gov/47516.htm,"Photography Services, RFP LSD-2021-100RB",https://www.courts.ca.gov/documents/RFP-LSD-2021-100RB-Photography.pdf,RFP-LSD-2021-100RB-Photography.pdf,RFP,"RFP-LSD-2021-100RB-Photography.pdf - Photography Services, RFP LSD-2021-100RB - RFP",2022,Request (RFP) document,Request (RFP),0
https://www.courts.ca.gov/47539.htm,"Temporary Staffing Services, RFP-HR-2021-29-DM",https://www.courts.ca.gov/documents/HR-2021-29-DM-ADDENDUM-1.pdf,HR-2021-29-DM-ADDENDUM-1.pdf,Addendum #1,"HR-2021-29-DM-ADDENDUM-1.pdf - Temporary Staffing Services, RFP-HR-2021-29-DM - Addendum #1",2022,Request (RFP) document,Request (RFP),
https://www.courts.ca.gov/47539.htm,"Temporary Staffing Services, RFP-HR-2021-29-DM",https://www.courts.ca.gov/documents/HR-2021-29-DM-ADDENDUM-2.pdf,HR-2021-29-DM-ADDENDUM-2.pdf,Addendum #2,"HR-2021-29-DM-ADDENDUM-2.pdf - Temporary Staffing Services, RFP-HR-2021-29-DM - Addendum #2",2022,Request (RFP) document,Request (RFP),
